Date,Hour,MCP
03/07/2023,1,5837.5425
03/07/2023,2,4541.952499999999
03/07/2023,3,3704.355
03/07/2023,4,3559.3175
03/07/2023,5,3534.2675
03/07/2023,6,3746.0475
03/07/2023,7,3973.5225
03/07/2023,8,3297.3875
03/07/2023,9,2765.55
03/07/2023,10,2767.5575
03/07/2023,11,2692.16
03/07/2023,12,2713.0175
03/07/2023,13,2646.6275
03/07/2023,14,2646.4725
03/07/2023,15,3016.1525
03/07/2023,16,3391.42
03/07/2023,17,3482.9700000000003
03/07/2023,18,3481.87
03/07/2023,19,3870.1274999999996
03/07/2023,20,6129.9625
03/07/2023,21,9112.75
03/07/2023,22,10000.0
03/07/2023,23,10000.0
03/07/2023,24,10000.0
03/08/2023,1,3442.325
03/08/2023,2,3012.02
03/08/2023,3,2774.76
03/08/2023,4,2500.7525
03/08/2023,5,2600.3675000000003
03/08/2023,6,3068.0475
03/08/2023,7,3588.165
03/08/2023,8,3094.215
03/08/2023,9,2785.1525
03/08/2023,10,2697.725
03/08/2023,11,2402.925
03/08/2023,12,2000.255
03/08/2023,13,1999.8725
03/08/2023,14,1999.7875
03/08/2023,15,2101.37
03/08/2023,16,2699.73
03/08/2023,17,2927.895
03/08/2023,18,2982.735
03/08/2023,19,3815.23
03/08/2023,20,5803.7575
03/08/2023,21,5418.225
03/08/2023,22,5942.0975
03/08/2023,23,6029.3125
03/08/2023,24,5624.4575
03/09/2023,1,10000.0
03/09/2023,2,10000.0
03/09/2023,3,10000.0
03/09/2023,4,10000.0
03/09/2023,5,10000.0
03/09/2023,6,10000.0
03/09/2023,7,10000.0
03/09/2023,8,10000.0
03/09/2023,9,10000.0
03/09/2023,10,10000.0
03/09/2023,11,10000.0
03/09/2023,12,10000.0
03/09/2023,13,10000.0
03/09/2023,14,10000.0
03/09/2023,15,10000.0
03/09/2023,16,10000.0
03/09/2023,17,10000.0
03/09/2023,18,10000.0
03/09/2023,19,10000.0
03/09/2023,20,10000.0
03/09/2023,21,10000.0
03/09/2023,22,10000.0
03/09/2023,23,10000.0
03/09/2023,24,10000.0
03/10/2023,1,4124.675
03/10/2023,2,3758.7475
03/10/2023,3,3690.27
03/10/2023,4,3342.21
03/10/2023,5,3295.2625
03/10/2023,6,3379.0025
03/10/2023,7,3814.8725
03/10/2023,8,3627.8225
03/10/2023,9,3318.9425
03/10/2023,10,3265.5075
03/10/2023,11,3235.3025
03/10/2023,12,3166.335
03/10/2023,13,3131.035
03/10/2023,14,2881.395
03/10/2023,15,3302.04
03/10/2023,16,3482.2975
03/10/2023,17,3934.8975
03/10/2023,18,4053.8575
03/10/2023,19,6082.0725
